date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:04:15	312/312	---MCZ	200	added ('OK')	text/plain	etag:W/%2221d-2g/QxQvfgQF4ZiopwlfXHMMHig8%22	https://www.techworld-with-nana.com/robots.txt		(from )
22:04:16	1058441/1058441	---MCZ	200	added ('OK')	text/html	etag:W/%22029add1b62d578827ce80b5ff4c2a925%22	https://www.techworld-with-nana.com/	C:/My%20Web%20Sites/technana/www.techworld-with-nana.com/index.html	(from )
22:04:16	36199/36199	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Jun%202024%2015:11:27%20GMT	https://static.wixstatic.com/media/e7182f_d110772490144eb28ac1a07e95ed9972~mv2.png/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/e7182f_d110772490144eb28ac1a07e95ed9972~mv2.png	C:/My%20Web%20Sites/technana/static.wixstatic.com/media/e7182f_d110772490144eb28ac1a07e95ed9972_mv2.png/v1/fill/w_192,h_192,lg_1,usm_0.66_1.00_0.01/e7182f_d110772490144eb28ac1a07e95ed9972_mv2.png	(from https://www.techworld-with-nana.com/)
22:04:16	2367/2367	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Jul%202024%2013:13:50%20GMT	https://static.wixstatic.com/media/e7182f_d110772490144eb28ac1a07e95ed9972~mv2.png/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/e7182f_d110772490144eb28ac1a07e95ed9972~mv2.png	C:/My%20Web%20Sites/technana/static.wixstatic.com/media/e7182f_d110772490144eb28ac1a07e95ed9972_mv2.png/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/e7182f_d110772490144eb28ac1a07e95ed9972_mv2.png	(from https://www.techworld-with-nana.com/)
22:04:17	32669/32669	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Jun%202024%2015:11:27%20GMT	https://static.wixstatic.com/media/e7182f_d110772490144eb28ac1a07e95ed9972~mv2.png/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/e7182f_d110772490144eb28ac1a07e95ed9972~mv2.png	C:/My%20Web%20Sites/technana/static.wixstatic.com/media/e7182f_d110772490144eb28ac1a07e95ed9972_mv2.png/v1/fill/w_180,h_180,lg_1,usm_0.66_1.00_0.01/e7182f_d110772490144eb28ac1a07e95ed9972_mv2.png	(from https://www.techworld-with-nana.com/)
22:04:17	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/technana/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.techworld-with-nana.com/)
22:04:17	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/technana/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.techworld-with-nana.com/)
22:04:18	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2031%20Jul%202024%2016:34:18%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/technana/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://www.techworld-with-nana.com/)
22:04:19	439768/439768	---MCZ	200	added ('OK')	text/xml	date:Wed,%2031%20Jul%202024%2016:34:19%20GMT	https://www.techworld-with-nana.com/blog-feed.xml	C:/My%20Web%20Sites/technana/www.techworld-with-nana.com/blog-feed.xml	(from https://www.techworld-with-nana.com/)
22:04:19	6416/6416	---M--	200	added ('OK')	image/png	date:Wed,%2031%20Jul%202024%2016:34:19%20GMT	https://static.wixstatic.com/media/be3ff4_db0b014ede3147aeb0aa073c9ffb3e85~mv2.png/v1/fill/w_38,h_96,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/be3ff4_db0b014ede3147aeb0aa073c9ffb3e85~mv2.png	C:/My%20Web%20Sites/technana/static.wixstatic.com/media/be3ff4_db0b014ede3147aeb0aa073c9ffb3e85_mv2.png/v1/fill/w_38,h_96,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/be3ff4_db0b014ede3147aeb0aa073c9ffb3e85_mv2.png	(from https://www.techworld-with-nana.com/)
